code,name,campus,location_name,address,lon,lat,city,town,education_stage
010F01,新北市立新北特殊教育學校,校本部校區,新北市立新北特殊教育學校_校本部校區,新北市林口區文化北路一段425號,121.3656998,25.07863045,新北市,林口區,特殊教育
013F01,市立新北特殊教育學校,校本部校區,市立新北特殊教育學校_校本部校區,新北市林口區文化北路一段425號,121.3659379,25.0784457,新北市,林口區,特殊教育
020f01,國立宜蘭特殊教育學校,校本部校區,國立宜蘭特殊教育學校_校本部校區,宜蘭縣五結鄉國民中路22之20號,121.7941437,24.69380188,宜蘭縣,五結鄉,特殊教育
030F01,國立桃園啟智學校,校本部校區,國立桃園啟智學校_校本部校區,桃園市桃園區德壽街10號,121.3023987,24.97976875,桃園市,桃園區,特殊教育
040F01,國立新竹特殊教育學校,校本部校區,國立新竹特殊教育學校_校本部校區,新竹縣竹北市光明六路東二段201號,121.0333633,24.81546021,新竹縣,竹北市,特殊教育
050F01,國立苗栗特殊教育學校,校本部校區,國立苗栗特殊教育學校_校本部校區,苗栗縣苗栗市經國路4段825號,120.8297806,24.58964157,苗栗縣,苗栗市,特殊教育
060F01,臺中市立啟明學校,校本部校區,臺中市立啟明學校_校本部校區,臺中市后里區三豐路三段936號,120.7235107,24.30511665,臺中市,后里區,特殊教育
063F01,市立臺中啟明學校,校本部校區,市立臺中啟明學校_校本部校區,臺中市后里區三豐路三段936號,120.7232648,24.3058944,臺中市,后里區,特殊教育
070F02,國立彰化特殊教育學校,校本部校區,國立彰化特殊教育學校_校本部校區,彰化縣社頭鄉中山路一段306號,120.5848999,23.8927536,彰化縣,社頭鄉,特殊教育
080F01,國立南投特殊教育學校,校本部校區,國立南投特殊教育學校_校本部校區,南投縣仁德路200號,120.6908646,23.94279099,南投縣,南投市,特殊教育
090F01,國立雲林特殊教育學校,校本部校區,國立雲林特殊教育學校_校本部校區,雲林縣斗南鎮新崙里新崙路100號,120.4307861,23.68119812,雲林縣,斗南鎮,特殊教育
110F01,國立臺南大學附屬啟聰學校,新化校區,國立臺南大學附屬啟聰學校_新化校區,臺南市新化區信義路52號,120.3192596,23.03922272,臺南市,新化區,特殊教育
110F01,國立臺南大學附屬啟聰學校,臺南校區,國立臺南大學附屬啟聰學校_臺南校區,臺南市新化區信義路52號,120.2111893,22.99364662,臺南市,中西區,特殊教育
124F01,市立仁武特殊教育學校,校本部校區,市立仁武特殊教育學校_校本部校區,814 高雄市仁武區澄觀路 1389 號,120.3469696,22.68419647,高雄市,仁武區,特殊教育
130F01,國立屏東特殊教育學校,校本部校區,國立屏東特殊教育學校_校本部校區,屏東縣潮州鎮光春路311號,120.5410385,22.5341835,屏東縣,潮州鎮,特殊教育
140F01,國立臺東大學附屬特殊教育學校,校本部校區,國立臺東大學附屬特殊教育學校_校本部校區,台東市中興路三段401巷170號,121.1081161,22.76875305,臺東縣,臺東市,特殊教育
150F01,國立花蓮特殊教育學校,吉安校區,國立花蓮特殊教育學校_吉安校區,花蓮縣吉安鄉中山路2段2號,121.5854797,23.97152328,花蓮縣,吉安鄉,特殊教育
150F01,國立花蓮特殊教育學校,美崙校區,國立花蓮特殊教育學校_美崙校區,花蓮縣吉安鄉中山路2段2號,121.618988,23.98838425,花蓮縣,花蓮市,特殊教育
170F01,國立基隆特殊教育學校,校本部校區,國立基隆特殊教育學校_校本部校區,基隆市七堵區堵南街20號,121.6870651,25.08293533,基隆市,七堵區,特殊教育
190F01,臺中市立啟聰學校,校本部校區,臺中市立啟聰學校_校本部校區,臺中市西屯區協和里安和路一號,120.6170425,24.16213989,臺中市,西屯區,特殊教育
190F02,臺中市立臺中特殊教育學校,校本部校區,臺中市立臺中特殊教育學校_校本部校區,臺中市南屯區公益路二段296號,120.6408997,24.15283585,臺中市,南屯區,特殊教育
193F01,市立臺中啟聰學校,校本部校區,市立臺中啟聰學校_校本部校區,臺中市西屯區協和里安和路1號,120.6173968,24.16150747,臺中市,西屯區,特殊教育
193F02,市立臺中特殊教育學校,校本部校區,市立臺中特殊教育學校_校本部校區,臺中市南屯區公益路二段296號,120.6414091,24.15193157,臺中市,南屯區,特殊教育
200F01,國立嘉義特殊教育學校,校本部校區,國立嘉義特殊教育學校_校本部校區,嘉義市世賢路2段123號,120.4216156,23.48003578,嘉義市,西區,特殊教育
210F01,國立臺南啟智學校,校本部校區,國立臺南啟智學校_校本部校區,臺南市安南區長和路二段74號,120.2222214,23.06416702,臺南市,安南區,特殊教育
363F01,市立啟聰學校,校本部校區,市立啟聰學校_校本部校區,臺北市大同區重慶北路三段320號,121.5125885,25.07474327,臺北市,大同區,特殊教育
383F01,市立文山特殊教育學校,校本部校區,市立文山特殊教育學校_校本部校區,臺北市文山區秀明路一段169號,121.5675049,24.9917202,臺北市,文山區,特殊教育
413F01,市立啟智學校,校本部校區,市立啟智學校_校本部校區,臺北市士林區忠誠路2段207巷3號,121.5362015,25.11711884,臺北市,士林區,特殊教育
413F02,市立啟明學校,校本部校區,市立啟明學校_校本部校區,臺北市士林區忠誠路二段207巷1號,121.5350189,25.11703682,臺北市,士林區,特殊教育
543F01,市立楠梓特殊學校,校園平面圖,市立楠梓特殊學校_校園平面圖,高雄市楠梓區德民路211號,120.3142548,22.72800636,高雄市,楠梓區,特殊教育
583F01,市立高雄啟智學校,校本部校區,市立高雄啟智學校_校本部校區,高雄市苓雅區憲政路233巷2號,120.3225403,22.63550377,高雄市,苓雅區,特殊教育
593F01,市立成功啟智學校,校本部校區,市立成功啟智學校_校本部校區,高雄市前鎮區復興三路3號,120.3015976,22.60718346,高雄市,前鎮區,特殊教育
10303,市立泰山高中,校本部校區,市立泰山高中_校本部校區,新北市泰山區辭修路7號,121.429863,25.05771828,新北市,泰山區,高中職
10304,國立板橋高中,校本部校區,國立板橋高中_校本部校區,新北市板橋區文化路1段25號,121.4590988,25.01168442,新北市,板橋區,高中職
10335,市立新店高中,校本部校區,市立新店高中_校本部校區,新北市新店區中央路93號,121.5318146,24.97561073,新北市,新店區,高中職
10336,市立中和高中,校本部校區,市立中和高中_校本部校區,新北市中和區連城路460號,121.4783478,24.99398613,新北市,中和區,高中職
10337,新北市立新莊高中,校本部校區,新北市立新莊高中_校本部校區,新北市新莊區中平路135號,121.4446564,25.04818344,新北市,新莊區,高中職
10339,市立林口高中,林口校區,市立林口高中_林口校區,新北市林口區仁愛路二段173號,121.3810043,25.07363892,新北市,林口區,高中職
10402,新北市立瑞芳高工,校本部校區,新北市立瑞芳高工_校本部校區,新北市瑞芳區瑞芳街60號,121.8037033,25.11042786,新北市,瑞芳區,高中職
10430,新北市立三重高級商工職業學校,校本部校區,新北市立三重高級商工職業學校_校本部校區,新北市三重區中正北路163號,121.480072,25.06964874,新北市,三重區,高中職
10433,新北市立新北高級工業職業學校,校本部校區,新北市立新北高級工業職業學校_校本部校區,新北市土城區學府路一段241號,121.4503784,24.98330688,新北市,土城區,高中職
10434,國立淡水商工,校本部校區,國立淡水商工_校本部校區,251 新北市淡水區商工路307號,121.4540253,25.18675995,新北市,淡水區,高中職
010B03,國立泰山高中進修學校,,國立泰山高中進修學校_,新北市泰山區辭修路7號,121.4294739,25.05677414,新北市,泰山區,高中職
010C02,國立瑞芳高工進修學校,,國立瑞芳高工進修學校_,新北市瑞芳區瑞芳街60號,121.8037567,25.11111069,新北市,瑞芳區,高中職
010C30,國立三重商工進修學校,,國立三重商工進修學校_,新北市三重區中正北路163號,121.4812851,25.06927109,新北市,三重區,高中職
010C33,國立海山高工進修學校,,國立海山高工進修學校_,新北市土城區學府路一段241號,121.4513397,24.98221779,新北市,土城區,高中職
010C34,國立淡水商工進修學校,,國立淡水商工進修學校_,新北市淡水區商工路307號,121.4531403,25.18826866,新北市,淡水區,高中職
11301,私立淡江高中,校本部校區,私立淡江高中_校本部校區,新北市淡水區真理街26號,121.4358292,25.17506027,新北市,淡水區,高中職
11302,財團法人康橋實驗高中,校本部校區,財團法人康橋實驗高中_校本部校區,新北市新店區華城路800號,121.4979248,24.91058159,新北市,新店區,高中職
11306,私立金陵女中,校本部校區,私立金陵女中_校本部校區,新北市三重區重新路五段656號,121.4666901,25.04217339,新北市,三重區,高中職
11307,新北市私立裕德高級中等學校,校本部校區,新北市私立裕德高級中等學校_校本部校區,新北市土城區擺接堡路1號,121.4395846,24.98297706,新北市,土城區,高中職
11309,財團法人南山高中,校本部校區,財團法人南山高中_校本部校區,新北市中和區廣福路41號,121.5034485,25.00162888,新北市,中和區,高中職
11310,財團法人恆毅高中,校本部校區,財團法人恆毅高中_校本部校區,新北市新莊區中正路108號,121.4537582,25.03655434,新北市,新莊區,高中職
11311,私立聖心女中,校本部校區,私立聖心女中_校本部校區,新北市八里區龍米路一段263號,121.4495621,25.1348114,新北市,八里區,高中職
11312,私立崇義高中,校本部校區,私立崇義高中_校本部校區,新北市汐止區大同路三段68號,121.6691895,25.07693672,新北市,汐止區,高中職
11314,財團法人中華高中,校本部校區,財團法人中華高中_校本部校區,新北市土城區城林路2號,121.437439,24.97562599,新北市,土城區,高中職
11315,私立東海高中,校本部校區,私立東海高中_校本部校區,新北市三重區忠孝路三段93巷12號,121.4785843,25.0645504,新北市,三重區,高中職
11316,私立格致高中,校本部校區,私立格致高中_校本部校區,新北市三重區大智街260號,121.4887238,25.07383919,新北市,三重區,高中職
11317,私立醒吾高中,校本部校區,私立醒吾高中_校本部校區,新北市林口區粉寮路一段75巷80號,121.3957825,25.07957077,新北市,林口區,高中職
11318,私立徐匯高中,蘆洲校區,私立徐匯高中_蘆洲校區,新北市蘆洲區中山一路一號,121.4799728,25.08026695,新北市,蘆洲區,高中職
