code,name,campus,location_name,address,lon,lat,city,town,education_stage
10301,國立華僑中學,校本部校區,國立華僑中學_校本部校區,新北市板橋區大觀路一段32號,121.4476089,25.00753212,新北市,板橋區,國中
010301j,國立華僑中學附設國中,校本部校區,國立華僑中學附設國中_校本部校區,台北縣板橋市大觀路一段32號,121.4475632,25.00728798,新北市,板橋區,國中
011301j,私立淡江高中附設國中,校本部校區,私立淡江高中附設國中_校本部校區,台北縣淡水鎮真理街26號,120.6736374,24.15941429,臺中市,北區,國中
011302j,財團法人康橋實驗高中附設國中,校本部校區,財團法人康橋實驗高中附設國中_校本部校區,臺北縣新店市華城路800號,121.4967117,24.91139221,新北市,新店區,國中
011306j,私立金陵女中附設國中,校本部校區,私立金陵女中附設國中_校本部校區,台北縣三重市重新路五段656號,120.6828308,24.17301941,臺中市,北屯區,國中
011309j,私立南山高中附設國中,校本部校區,私立南山高中附設國中_校本部校區,台北縣中和市廣福路41號,120.7013474,24.17160225,臺中市,北屯區,國中
011310j,私立恆毅高中附設國中,校本部校區,私立恆毅高中附設國中_校本部校區,台北縣新莊市中正路108號,121.4537277,25.03659248,新北市,新莊區,國中
011311j,私立聖心女中附設國中,校本部校區,私立聖心女中附設國中_校本部校區,台北縣八里鄉龍米路一段263號,120.6716156,24.18003082,臺中市,北屯區,國中
011312j,私立崇義高中附設國中,校本部校區,私立崇義高中附設國中_校本部校區,台北縣汐止市大同路三段68號,120.6917191,24.16302681,臺中市,北屯區,國中
011316j,私立格致高中附設國中,校本部校區,私立格致高中附設國中_校本部校區,台北縣三重市大智街260號,120.6780243,24.19314766,臺中市,北屯區,國中
011317j,私立醒吾高中附設國中,校本部校區,私立醒吾高中附設國中_校本部校區,台北縣林口鄉粉寮路一段75巷80號,120.6090775,24.19357872,臺中市,西屯區,國中
011318j,私立徐匯高中附設國中,校本部校區,私立徐匯高中附設國中_校本部校區,台北縣蘆洲市中山一路1號,121.4801254,25.08010674,新北市,蘆洲區,國中
011322j,私立崇光女中附設國中,校本部校區,私立崇光女中附設國中_校本部校區,台北縣新店市三民路18號,121.5390778,24.97180939,新北市,新店區,國中
011323j,私立光仁高中附設國中,校本部校區,私立光仁高中附設國中_校本部校區,台北縣板橋市中山路二段255巷18號,120.6404648,24.17923546,臺中市,西屯區,國中
011324j,私立竹林高中附設國中,校本部校區,私立竹林高中附設國中_校本部校區,台北縣中和市華新街143巷12號,121.5060272,24.97991753,新北市,中和區,國中
011325j,私立及人高中附設國中,校本部校區,私立及人高中附設國中_校本部校區,台北縣新店市安興路1號,121.5148926,24.96679878,新北市,新店區,國中
11329,辭修學校財團法人私立辭修高級中學,校本部校區,辭修學校財團法人私立辭修高級中學_校本部校區,新北市三峽區溪東路251號,121.4087753,24.93223953,新北市,三峽區,國中
011329j,私立辭修高中附設國中,校本部校區,私立辭修高中附設國中_校本部校區,台北縣三峽鎮溪東路251號,121.4092941,24.93193626,新北市,三峽區,國中
11501,私立時雨中學,校本部校區,私立時雨中學_校本部校區,新北市瑞芳區銅山里祈堂路217號,121.8555298,25.10932541,新北市,瑞芳區,國中
11503,私立裕德國中(小),校本部校區,私立裕德國中(小)_校本部校區,新北市土城區擺接堡路1號,121.4401093,24.98303795,新北市,土城區,國中
014302j,縣立海山高中附設國中,校本部校區,縣立海山高中附設國中_校本部校區,台北縣板橋市漢生東路215號,120.6648254,24.17699242,臺中市,西屯區,國中
014311j,縣立三重高中附設國中,校本部校區,縣立三重高中附設國中_校本部校區,台北縣三重市集美街212號,120.6580582,24.16754913,臺中市,西屯區,國中
014315j,縣立永平高中附設國中,校本部校區,縣立永平高中附設國中_校本部校區,台北縣永和市永平路205號,120.6432877,24.17368126,臺中市,西屯區,國中
014322j,縣立樹林高中附設國中,校本部校區,縣立樹林高中附設國中_校本部校區,台北縣樹林市中華路8號,120.6488647,24.19739532,臺中市,西屯區,國中
014326j,縣立明德高中附設國中,校本部校區,縣立明德高中附設國中_校本部校區,台北縣三峽鎮中正路二段399號,121.3639221,24.90685081,新北市,三峽區,國中
014332j,縣立秀峰高中附設國中,校本部校區,縣立秀峰高中附設國中_校本部校區,臺北縣汐止市忠孝東路201號,120.6339951,24.15772247,臺中市,南屯區,國中
014338j,縣立金山高中附設國中,校本部校區,縣立金山高中附設國中_校本部校區,台北縣金山鄉美田村文化二路2號,120.6153946,24.14933586,臺中市,南屯區,國中
014343j,縣立安康高中附設國中,校本部校區,縣立安康高中附設國中_校本部校區,台北縣新店市安興路25號,120.629097,24.1215744,臺中市,南屯區,國中
014347j,縣立雙溪高中附設國中,校本部校區,縣立雙溪高中附設國中_校本部校區,台北縣雙溪鄉梅竹蹊3號,120.7198029,24.15477562,臺中市,太平區,國中
14348,新北市立石碇高級中學,校本部校區,新北市立石碇高級中學_校本部校區,新北市石碇區隆盛里八分寮45號,121.6425934,25.012743,新北市,石碇區,國中
014348j,縣立石碇高中附設國中,校本部校區,縣立石碇高中附設國中_校本部校區,台北縣石碇鄉隆盛村八分寮45號,120.7372971,24.14513588,臺中市,太平區,國中
014353j,市立丹鳳高中附設國中,校本部校區,市立丹鳳高中附設國中_校本部校區,台北縣新莊市龍安路72號,120.731926,24.10994911,臺中市,太平區,國中
014356j,縣立清水高中附設國中,校本部校區,縣立清水高中附設國中_校本部校區,台北縣土城市明德路一段72號,120.5518646,22.4214592,屏東縣,佳冬鄉,國中
